filename	acq_time	operator	randstr
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-1_part-mag_sbref.nii.gz	2026-07-09T11:13:16.857500	n/a	a7e38334
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-1_part-phase_sbref.nii.gz	2026-07-09T11:13:16.857500	n/a	f9ecb287
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-2_part-mag_sbref.nii.gz	2026-07-09T11:13:16.877500	n/a	a7e38334
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-2_part-phase_sbref.nii.gz	2026-07-09T11:13:16.877500	n/a	f9ecb287
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-3_part-mag_sbref.nii.gz	2026-07-09T11:13:16.897500	n/a	a7e38334
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-3_part-phase_sbref.nii.gz	2026-07-09T11:13:16.897500	n/a	f9ecb287
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-1_part-mag_bold.nii.gz	2026-07-09T11:13:24.422500	n/a	4207cdac
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-1_part-phase_bold.nii.gz	2026-07-09T11:13:24.422500	n/a	69226554
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-2_part-mag_bold.nii.gz	2026-07-09T11:13:24.442500	n/a	4207cdac
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-2_part-phase_bold.nii.gz	2026-07-09T11:13:24.442500	n/a	69226554
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-3_part-mag_bold.nii.gz	2026-07-09T11:13:24.460000	n/a	4207cdac
func/sub-crlab_task-rest_acq-2d3echo_run-03_echo-3_part-phase_bold.nii.gz	2026-07-09T11:13:24.460000	n/a	69226554
